Dashboard,Customers & CRM,Leads & Sales Pipeline,Quotes,Sales Orders,Invoicing,Payments,Products & Pricing,Purchasing,Suppliers,Inventory,Warehousing,Manufacturing (BOM),Work Orders,Quality,Shipping & Delivery,Returns & RMA,Support Tickets,Projects,Time & Attendance,HR,Expenses,Assets & Maintenance,Reporting,Admin & Security
"Dashboard: personal notes","CRM: customer call log template","Pipeline: meeting scheduling fields","Quotes: quote internal memo","Orders: order internal memo","Invoicing: invoice internal memo","Payments: payment internal memo","Products: product internal memo","Purchasing: PO internal memo","Suppliers: supplier internal memo","Inventory: inventory internal memo","Warehousing: warehouse internal memo","BOM: BOM internal memo","Work Orders: WO internal memo","Quality: quality internal memo","Shipping: shipping internal memo","Returns: return internal memo","Tickets: ticket internal memo","Projects: project internal memo","Time: timesheet internal memo","HR: HR internal memo","Expenses: expense internal memo","Assets: asset internal memo","Reporting: report internal memo","Admin: notes permissions"
"Dashboard: system health status","CRM: customer duplicate detection (rules)","Pipeline: duplicate lead detection (rules)","Quotes: prevent duplicate quote numbers","Orders: prevent duplicate order numbers","Invoicing: prevent duplicate invoice numbers","Payments: detect duplicate payments","Products: prevent duplicate SKU","Purchasing: prevent duplicate PO numbers","Suppliers: prevent duplicate supplier codes","Inventory: detect negative stock","Warehousing: validate bin format","BOM: validate circular BOM","Work Orders: prevent closing with open steps","Quality: require sign-off before release","Shipping: prevent ship without pick","Returns: prevent refund without receipt","Tickets: prevent close without resolution","Projects: prevent close with open tasks","Time: prevent approve with missing entries","HR: require mandatory fields","Expenses: require receipt over threshold","Assets: prevent dispose if assigned","Reporting: validate filters","Admin: validation rules engine"
"Dashboard: data freshness timestamps","CRM: customer address validation (basic)","Pipeline: stage entry requirements","Quotes: require customer before send","Orders: require shipping address","Invoicing: require tax info","Payments: require payment date","Products: require UoM","Purchasing: require supplier before PO","Suppliers: require payment terms","Inventory: require location","Warehousing: require bin for putaway","BOM: require at least one component","Work Orders: require BOM link","Quality: require inspector assignment","Shipping: require carrier selection","Returns: require reason code","Tickets: require category","Projects: require owner","Time: require employee assignment","HR: require contract dates","Expenses: require expense date","Assets: require serial","Reporting: require date range","Admin: mandatory field configuration"
"Dashboard: export dashboard as PDF","CRM: customer statement page","Pipeline: conversion rate report","Quotes: quote pipeline report","Orders: order backlog report","Invoicing: invoice aging report","Payments: payments received report","Products: product profitability report","Purchasing: spend analysis report","Suppliers: supplier performance report","Inventory: inventory turnover report","Warehousing: pick accuracy report","BOM: BOM usage report","Work Orders: WO performance report","Quality: defect rate report","Shipping: on-time delivery report","Returns: return rate report","Tickets: ticket volume report","Projects: project status report","Time: attendance report","HR: headcount report","Expenses: expense by category report","Assets: maintenance cost report","Reporting: report gallery page","Admin: report access controls"
"Dashboard: embed external docs links","CRM: customer payment terms view","Pipeline: opportunity product interest","Quotes: quote line UoM","Orders: order line UoM","Invoicing: invoice line UoM","Payments: payment currency fields","Products: multi-UoM sales","Purchasing: PO UoM conversions","Suppliers: supplier UoM preferences","Inventory: base UoM tracking","Warehousing: pick UoM handling","BOM: component UoM handling","Work Orders: issue UoM handling","Quality: inspection quantity UoM","Shipping: shipped quantity UoM","Returns: returned quantity UoM","Tickets: affected quantity field","Projects: deliverable quantity field","Time: hours vs days view","HR: FTE calculations","Expenses: units (km/nights) handling","Assets: usage meter UoM","Reporting: UoM consistency checks","Admin: UoM configuration"
"Dashboard: keyboard shortcuts help","CRM: quick-add contact modal","Pipeline: quick-add lead modal","Quotes: quick-add line item","Orders: quick-add line item","Invoicing: quick-add fee line","Payments: quick-add payment","Products: quick-add product","Purchasing: quick-add PO line","Suppliers: quick-add supplier","Inventory: quick-adjust stock modal","Warehousing: quick-move stock modal","BOM: quick-add component","Work Orders: quick-add operation","Quality: quick-add defect","Shipping: quick-add package","Returns: quick-add return line","Tickets: quick-add comment","Projects: quick-add task","Time: quick-add time entry","HR: quick-add employee note","Expenses: quick-add receipt upload","Assets: quick-add asset note","Reporting: quick-add saved report","Admin: quick-add user"
"Dashboard: user notification preferences","CRM: customer email templates","Pipeline: outreach sequences (manual)","Quotes: send quote email logging","Orders: send order confirmation email logging","Invoicing: send invoice email logging","Payments: send receipt email logging","Products: product email share link","Purchasing: send PO email logging","Suppliers: send onboarding email logging","Inventory: low stock email alerts (SMTP)","Warehousing: pick list email","BOM: notify on revision change","Work Orders: notify on status change","Quality: notify on NCR created","Shipping: notify on shipment sent","Returns: notify on RMA approved","Tickets: notify on assignment","Projects: notify on task due","Time: notify on missing timesheet","HR: notify on doc expiry","Expenses: notify on approval","Assets: notify on maintenance due","Reporting: notify on scheduled report","Admin: notification templates"
"Dashboard: customizable home widgets","CRM: customer map view (OpenStreetMap)","Pipeline: opportunity map view","Quotes: quote map view (delivery)","Orders: delivery address map view","Invoicing: billing address map view","Payments: bank branch field","Products: supplier map field","Purchasing: supplier location map","Suppliers: supplier map view","Inventory: warehouse map overlay (static)","Warehousing: bin map (simple grid)","BOM: plant location field","Work Orders: workstation location field","Quality: inspection location field","Shipping: route map (manual)","Returns: pickup location field","Tickets: onsite location field","Projects: site location field","Time: work location field","HR: office locations","Expenses: location-based per diem","Assets: asset location map","Reporting: geo reports","Admin: maps toggle"
"Dashboard: multi-tenant overview (if needed)","CRM: customer portal basic (download invoices)","Pipeline: lead portal basic (submit lead)","Quotes: customer can accept quote (link)","Orders: customer can view order status (link)","Invoicing: customer can view invoices (link)","Payments: customer can upload payment proof","Products: public product catalog (optional)","Purchasing: internal requester portal","Suppliers: supplier can confirm PO (link)","Inventory: stock visibility permissions","Warehousing: handheld-friendly pages","BOM: view-only access for shop floor","Work Orders: shop floor kiosk mode","Quality: shop floor inspection kiosk","Shipping: packing station kiosk","Returns: customer return portal (link)","Tickets: customer ticket portal","Projects: client project portal","Time: employee self-service","HR: employee self-service docs","Expenses: employee expense portal","Assets: employee asset checkout portal","Reporting: shared report links","Admin: portal access controls"
"Dashboard: audit widgets (recent logins)","CRM: GDPR consent log","Pipeline: audit stage changes","Quotes: audit sent/accepted","Orders: audit fulfill actions","Invoicing: audit posted invoices","Payments: audit payment edits","Products: audit price edits","Purchasing: audit approvals","Suppliers: audit supplier changes","Inventory: audit stock changes","Warehousing: audit moves","BOM: audit revisions","Work Orders: audit completions","Quality: audit sign-offs","Shipping: audit shipments","Returns: audit refunds","Tickets: audit resolution changes","Projects: audit status changes","Time: audit approvals","HR: audit sensitive access","Expenses: audit reimbursements","Assets: audit disposals","Reporting: audit report access","Admin: security audit export"
"Dashboard: onboarding tour (non-AI)","CRM: inline help tooltips","Pipeline: stage definitions help","Quotes: quote template help","Orders: fulfillment checklist help","Invoicing: tax setup help","Payments: reconciliation help","Products: SKU rules help","Purchasing: approval rules help","Suppliers: onboarding guide","Inventory: stock move guide","Warehousing: bin labeling guide","BOM: BOM creation guide","Work Orders: WO lifecycle help","Quality: NCR process guide","Shipping: packing process guide","Returns: return process guide","Tickets: ticket triage guide","Projects: project template guide","Time: timesheet guide","HR: policy acknowledgments","Expenses: receipt rules help","Assets: maintenance guide","Reporting: report builder help","Admin: admin checklist"
"Dashboard: multi-tab saved views","CRM: customer list saved views","Pipeline: pipeline saved views","Quotes: quote list saved views","Orders: order list saved views","Invoicing: invoice list saved views","Payments: payment list saved views","Products: product list saved views","Purchasing: PO list saved views","Suppliers: supplier list saved views","Inventory: inventory list saved views","Warehousing: warehouse list saved views","BOM: BOM list saved views","Work Orders: WO list saved views","Quality: quality list saved views","Shipping: shipment list saved views","Returns: RMA list saved views","Tickets: ticket list saved views","Projects: project list saved views","Time: time list saved views","HR: employee list saved views","Expenses: expense list saved views","Assets: asset list saved views","Reporting: report list saved views","Admin: saved views management"
"Dashboard: accessibility options","CRM: accessibility for forms","Pipeline: keyboard navigation","Quotes: printable high-contrast","Orders: large-font packing view","Invoicing: accessible invoice PDF","Payments: accessible receipts","Products: alt text for images","Purchasing: accessible approval UI","Suppliers: accessible portal","Inventory: color-blind safe status","Warehousing: large button UI","BOM: readable BOM tree","Work Orders: kiosk accessibility","Quality: accessible checklists","Shipping: accessible pick/pack","Returns: accessible return forms","Tickets: accessible comments","Projects: accessible kanban","Time: accessible time entry","HR: accessible employee portal","Expenses: accessible receipt upload","Assets: accessible asset forms","Reporting: accessible charts","Admin: accessibility settings"
"Dashboard: performance metrics page","CRM: bulk email export list","Pipeline: lead export list","Quotes: quote export list","Orders: order export list","Invoicing: invoice export list","Payments: payments export list","Products: product export list","Purchasing: PO export list","Suppliers: supplier export list","Inventory: inventory export list","Warehousing: warehouse export list","BOM: BOM export list","Work Orders: WO export list","Quality: quality export list","Shipping: shipment export list","Returns: return export list","Tickets: ticket export list","Projects: project export list","Time: timesheet export list","HR: employee export list","Expenses: expense export list","Assets: asset export list","Reporting: report export list","Admin: full database export"
"Dashboard: system messages feed","CRM: customer timeline view","Pipeline: opportunity timeline view","Quotes: quote timeline view","Orders: order timeline view","Invoicing: invoice timeline view","Payments: payment timeline view","Products: product change timeline","Purchasing: PO timeline view","Suppliers: supplier timeline view","Inventory: stock timeline view","Warehousing: move timeline view","BOM: BOM change timeline","Work Orders: WO timeline view","Quality: quality timeline view","Shipping: shipment timeline view","Returns: return timeline view","Tickets: ticket timeline view","Projects: project timeline view","Time: time entry timeline","HR: employee timeline","Expenses: expense timeline","Assets: asset timeline","Reporting: report run timeline","Admin: admin actions timeline"
"Dashboard: basic search analytics (queries)","CRM: customer churn flag (rules)","Pipeline: win/loss reasons","Quotes: quote win rate stats","Orders: order conversion stats","Invoicing: days sales outstanding (DSO)","Payments: payment delay stats","Products: top sellers stats","Purchasing: spend by supplier stats","Suppliers: on-time delivery stats","Inventory: stockout frequency stats","Warehousing: pick time stats","BOM: component usage frequency","Work Orders: lead time stats","Quality: defect Pareto","Shipping: shipping cost stats","Returns: return reasons Pareto","Tickets: ticket categories Pareto","Projects: project overrun stats","Time: absenteeism stats","HR: turnover stats","Expenses: average claim stats","Assets: downtime stats","Reporting: KPI library","Admin: telemetry opt-in/out"
"Dashboard: multi-user announcements","CRM: customer account hierarchy","Pipeline: parent/child opportunities","Quotes: quote bundles","Orders: parent/child orders","Invoicing: consolidated invoicing","Payments: consolidated statements","Products: product families","Purchasing: grouped POs","Suppliers: parent/child suppliers","Inventory: inventory by family","Warehousing: zone management","BOM: assembly families","Work Orders: parent/child WOs","Quality: linked NCRs","Shipping: consolidated shipments","Returns: consolidated returns","Tickets: linked tickets","Projects: program management (parent projects)","Time: project timesheet grouping","HR: manager/subordinate links","Expenses: consolidated reimbursements","Assets: asset groups","Reporting: consolidated dashboards","Admin: org hierarchy config"
"Dashboard: print dashboard","CRM: print customer profile","Pipeline: print opportunity summary","Quotes: print quote","Orders: print order","Invoicing: print invoice","Payments: print receipt","Products: print product sheet","Purchasing: print PO","Suppliers: print supplier sheet","Inventory: print stock card","Warehousing: print bin labels","BOM: print BOM","Work Orders: print traveler","Quality: print inspection sheet","Shipping: print packing slip","Returns: print RMA","Tickets: print ticket","Projects: print project summary","Time: print timesheet","HR: print employee profile","Expenses: print expense claim","Assets: print asset card","Reporting: print report","Admin: print settings"
"Dashboard: configurable date range","CRM: customer created date filters","Pipeline: stage date filters","Quotes: quote date filters","Orders: order date filters","Invoicing: invoice date filters","Payments: payment date filters","Products: product created date filter","Purchasing: PO date filters","Suppliers: supplier created date filter","Inventory: stock movement date filter","Warehousing: move date filters","BOM: revision date filters","Work Orders: WO date filters","Quality: inspection date filters","Shipping: shipment date filters","Returns: return date filters","Tickets: ticket date filters","Projects: project date filters","Time: time entry date filters","HR: hire date filters","Expenses: expense date filters","Assets: asset purchase date filter","Reporting: parameterized reports","Admin: date/time settings"
"Dashboard: multi-currency display toggle","CRM: customer preferred currency","Pipeline: opportunity currency","Quotes: quote currency","Orders: order currency","Invoicing: invoice currency","Payments: payment currency","Products: price list currency","Purchasing: PO currency","Suppliers: supplier currency","Inventory: valuation currency","Warehousing: cost currency","BOM: cost currency","Work Orders: cost currency","Quality: cost currency","Shipping: cost currency","Returns: cost currency","Tickets: cost impact currency","Projects: budget currency","Time: labor cost currency","HR: salary currency","Expenses: expense currency","Assets: asset value currency","Reporting: multi-currency reports","Admin: currency setup"
"Dashboard: compact mode","CRM: compact customer list","Pipeline: compact pipeline view","Quotes: compact quote list","Orders: compact order list","Invoicing: compact invoice list","Payments: compact payment list","Products: compact product list","Purchasing: compact PO list","Suppliers: compact supplier list","Inventory: compact inventory list","Warehousing: compact bin list","BOM: compact BOM list","Work Orders: compact WO list","Quality: compact NCR list","Shipping: compact shipment list","Returns: compact RMA list","Tickets: compact ticket list","Projects: compact project list","Time: compact timesheet view","HR: compact employee list","Expenses: compact expense list","Assets: compact asset list","Reporting: compact report list","Admin: UI density setting"
"Dashboard: export config","CRM: export/import customers","Pipeline: export/import leads","Quotes: export/import quotes","Orders: export/import orders","Invoicing: export/import invoices","Payments: export/import payments","Products: export/import products","Purchasing: export/import POs","Suppliers: export/import suppliers","Inventory: export/import inventory","Warehousing: export/import locations","BOM: export/import BOMs","Work Orders: export/import WOs","Quality: export/import NCRs","Shipping: export/import shipments","Returns: export/import RMAs","Tickets: export/import tickets","Projects: export/import projects","Time: export/import timesheets","HR: export/import employees","Expenses: export/import expenses","Assets: export/import assets","Reporting: export/import reports","Admin: import/export permissions"
"Dashboard: personal KPIs","CRM: customer custom dashboards","Pipeline: salesperson dashboards","Quotes: quote dashboards","Orders: fulfillment dashboards","Invoicing: finance dashboards","Payments: collections dashboards","Products: product dashboards","Purchasing: procurement dashboards","Suppliers: supplier dashboards","Inventory: inventory dashboards","Warehousing: warehouse dashboards","BOM: engineering dashboards","Work Orders: production dashboards","Quality: quality dashboards","Shipping: logistics dashboards","Returns: returns dashboards","Tickets: support dashboards","Projects: PM dashboards","Time: attendance dashboards","HR: HR dashboards","Expenses: expense dashboards","Assets: maintenance dashboards","Reporting: dashboard builder","Admin: dashboard permissions"
"Dashboard: configurable shortcuts","CRM: configurable CRM fields","Pipeline: configurable stages","Quotes: configurable templates","Orders: configurable statuses","Invoicing: configurable numbering","Payments: configurable methods","Products: configurable attributes","Purchasing: configurable approvals","Suppliers: configurable rating fields","Inventory: configurable reasons","Warehousing: configurable bin formats","BOM: configurable revision rules","Work Orders: configurable operations","Quality: configurable defect codes","Shipping: configurable carriers","Returns: configurable dispositions","Tickets: configurable categories","Projects: configurable workflows","Time: configurable policies","HR: configurable org","Expenses: configurable policies","Assets: configurable maintenance","Reporting: configurable metrics","Admin: configuration export"
"Dashboard: logout everywhere button","CRM: data delete customer (with safeguards)","Pipeline: delete/archive leads","Quotes: archive old quotes","Orders: archive closed orders","Invoicing: archive paid invoices","Payments: archive payments","Products: archive discontinued products","Purchasing: archive closed POs","Suppliers: archive inactive suppliers","Inventory: archive old movements","Warehousing: archive old tasks","BOM: archive obsolete BOMs","Work Orders: archive completed WOs","Quality: archive closed NCRs","Shipping: archive shipped records","Returns: archive closed RMAs","Tickets: archive closed tickets","Projects: archive closed projects","Time: archive old timesheets","HR: archive former employees","Expenses: archive reimbursed claims","Assets: archive disposed assets","Reporting: archive old reports","Admin: soft-delete/restore system"

