"page","idea"
"Time & Attendance","Time: timesheet internal memo"
"HR","HR: HR internal memo"
"Expenses","Expenses: expense internal memo"
"Assets & Maintenance","Assets: asset internal memo"
"Reporting","Reporting: report internal memo"
"Admin & Security","Admin: notes permissions"
"Dashboard","Dashboard: system health status"
"Customers & CRM","CRM: customer duplicate detection (rules)"
"Leads & Sales Pipeline","Pipeline: duplicate lead detection (rules)"
"Quotes","Quotes: prevent duplicate quote numbers"
"Sales Orders","Orders: prevent duplicate order numbers"
"Invoicing","Invoicing: prevent duplicate invoice numbers"
"Payments","Payments: detect duplicate payments"
"Products & Pricing","Products: prevent duplicate SKU"
"Purchasing","Purchasing: prevent duplicate PO numbers"
"Suppliers","Suppliers: prevent duplicate supplier codes"
"Inventory","Inventory: detect negative stock"
"Warehousing","Warehousing: validate bin format"
"Manufacturing (BOM)","BOM: validate circular BOM"
"Work Orders","Work Orders: prevent closing with open steps"
"Quality","Quality: require sign-off before release"
"Shipping & Delivery","Shipping: prevent ship without pick"
"Returns & RMA","Returns: prevent refund without receipt"
"Support Tickets","Tickets: prevent close without resolution"
"Projects","Projects: prevent close with open tasks"
"Time & Attendance","Time: prevent approve with missing entries"
"HR","HR: require mandatory fields"
"Expenses","Expenses: require receipt over threshold"
"Assets & Maintenance","Assets: prevent dispose if assigned"
"Reporting","Reporting: validate filters"
"Admin & Security","Admin: validation rules engine"
"Dashboard","Dashboard: data freshness timestamps"
"Customers & CRM","CRM: customer address validation (basic)"
"Leads & Sales Pipeline","Pipeline: stage entry requirements"
"Quotes","Quotes: require customer before send"
"Sales Orders","Orders: require shipping address"
"Invoicing","Invoicing: require tax info"
"Payments","Payments: require payment date"
"Products & Pricing","Products: require UoM"
"Purchasing","Purchasing: require supplier before PO"
"Suppliers","Suppliers: require payment terms"
"Inventory","Inventory: require location"
"Warehousing","Warehousing: require bin for putaway"
"Manufacturing (BOM)","BOM: require at least one component"
"Work Orders","Work Orders: require BOM link"
"Quality","Quality: require inspector assignment"
"Shipping & Delivery","Shipping: require carrier selection"
"Returns & RMA","Returns: require reason code"
"Support Tickets","Tickets: require category"
"Projects","Projects: require owner"
"Time & Attendance","Time: require employee assignment"
"HR","HR: require contract dates"
"Expenses","Expenses: require expense date"
"Assets & Maintenance","Assets: require serial"
"Reporting","Reporting: require date range"
"Admin & Security","Admin: mandatory field configuration"
"Dashboard","Dashboard: export dashboard as PDF"
"Customers & CRM","CRM: customer statement page"
"Leads & Sales Pipeline","Pipeline: conversion rate report"
"Quotes","Quotes: quote pipeline report"
"Sales Orders","Orders: order backlog report"
"Invoicing","Invoicing: invoice aging report"
"Payments","Payments: payments received report"
"Products & Pricing","Products: product profitability report"
"Purchasing","Purchasing: spend analysis report"
"Suppliers","Suppliers: supplier performance report"
"Inventory","Inventory: inventory turnover report"
"Warehousing","Warehousing: pick accuracy report"
"Manufacturing (BOM)","BOM: BOM usage report"
"Work Orders","Work Orders: WO performance report"
"Quality","Quality: defect rate report"
"Shipping & Delivery","Shipping: on-time delivery report"
"Returns & RMA","Returns: return rate report"
"Support Tickets","Tickets: ticket volume report"
"Projects","Projects: project status report"
"Time & Attendance","Time: attendance report"
"HR","HR: headcount report"
"Expenses","Expenses: expense by category report"
"Assets & Maintenance","Assets: maintenance cost report"
"Reporting","Reporting: report gallery page"
"Admin & Security","Admin: report access controls"
"Dashboard","Dashboard: embed external docs links"
"Customers & CRM","CRM: customer payment terms view"
"Leads & Sales Pipeline","Pipeline: opportunity product interest"
"Quotes","Quotes: quote line UoM"
"Sales Orders","Orders: order line UoM"
"Invoicing","Invoicing: invoice line UoM"
"Payments","Payments: payment currency fields"
"Products & Pricing","Products: multi-UoM sales"
"Purchasing","Purchasing: PO UoM conversions"
"Suppliers","Suppliers: supplier UoM preferences"
"Inventory","Inventory: base UoM tracking"
"Warehousing","Warehousing: pick UoM handling"
"Manufacturing (BOM)","BOM: component UoM handling"
"Work Orders","Work Orders: issue UoM handling"
"Quality","Quality: inspection quantity UoM"
"Shipping & Delivery","Shipping: shipped quantity UoM"
"Returns & RMA","Returns: returned quantity UoM"
"Support Tickets","Tickets: affected quantity field"
"Projects","Projects: deliverable quantity field"
"Time & Attendance","Time: hours vs days view"
"HR","HR: FTE calculations"
"Expenses","Expenses: units (km/nights) handling"
"Assets & Maintenance","Assets: usage meter UoM"
"Reporting","Reporting: UoM consistency checks"
"Admin & Security","Admin: UoM configuration"
"Dashboard","Dashboard: keyboard shortcuts help"
"Customers & CRM","CRM: quick-add contact modal"
"Leads & Sales Pipeline","Pipeline: quick-add lead modal"
"Quotes","Quotes: quick-add line item"
"Sales Orders","Orders: quick-add line item"
"Invoicing","Invoicing: quick-add fee line"
"Payments","Payments: quick-add payment"
"Products & Pricing","Products: quick-add product"
"Purchasing","Purchasing: quick-add PO line"
"Suppliers","Suppliers: quick-add supplier"
"Inventory","Inventory: quick-adjust stock modal"
"Warehousing","Warehousing: quick-move stock modal"
"Manufacturing (BOM)","BOM: quick-add component"
"Work Orders","Work Orders: quick-add operation"
"Quality","Quality: quick-add defect"
"Shipping & Delivery","Shipping: quick-add package"
"Returns & RMA","Returns: quick-add return line"
"Support Tickets","Tickets: quick-add comment"
"Projects","Projects: quick-add task"
"Time & Attendance","Time: quick-add time entry"
"HR","HR: quick-add employee note"
"Expenses","Expenses: quick-add receipt upload"
"Assets & Maintenance","Assets: quick-add asset note"
"Reporting","Reporting: quick-add saved report"
"Admin & Security","Admin: quick-add user"
"Dashboard","Dashboard: user notification preferences"
"Customers & CRM","CRM: customer email templates"
"Leads & Sales Pipeline","Pipeline: outreach sequences (manual)"
"Quotes","Quotes: send quote email logging"
"Sales Orders","Orders: send order confirmation email logging"
"Invoicing","Invoicing: send invoice email logging"
"Payments","Payments: send receipt email logging"
"Products & Pricing","Products: product email share link"
"Purchasing","Purchasing: send PO email logging"
"Suppliers","Suppliers: send onboarding email logging"
"Inventory","Inventory: low stock email alerts (SMTP)"
"Warehousing","Warehousing: pick list email"
"Manufacturing (BOM)","BOM: notify on revision change"
"Work Orders","Work Orders: notify on status change"
"Quality","Quality: notify on NCR created"
"Shipping & Delivery","Shipping: notify on shipment sent"
"Returns & RMA","Returns: notify on RMA approved"
"Support Tickets","Tickets: notify on assignment"
"Projects","Projects: notify on task due"
"Time & Attendance","Time: notify on missing timesheet"
"HR","HR: notify on doc expiry"
"Expenses","Expenses: notify on approval"
"Assets & Maintenance","Assets: notify on maintenance due"
"Reporting","Reporting: notify on scheduled report"
"Admin & Security","Admin: notification templates"
"Dashboard","Dashboard: customizable home widgets"
"Customers & CRM","CRM: customer map view (OpenStreetMap)"
"Leads & Sales Pipeline","Pipeline: opportunity map view"
"Quotes","Quotes: quote map view (delivery)"
"Sales Orders","Orders: delivery address map view"
"Invoicing","Invoicing: billing address map view"
"Payments","Payments: bank branch field"
"Products & Pricing","Products: supplier map field"
"Purchasing","Purchasing: supplier location map"
"Suppliers","Suppliers: supplier map view"
"Inventory","Inventory: warehouse map overlay (static)"
"Warehousing","Warehousing: bin map (simple grid)"
"Manufacturing (BOM)","BOM: plant location field"
"Work Orders","Work Orders: workstation location field"
"Quality","Quality: inspection location field"
"Shipping & Delivery","Shipping: route map (manual)"
"Returns & RMA","Returns: pickup location field"
"Support Tickets","Tickets: onsite location field"
"Projects","Projects: site location field"
"Time & Attendance","Time: work location field"
"HR","HR: office locations"
"Expenses","Expenses: location-based per diem"
"Assets & Maintenance","Assets: asset location map"
"Reporting","Reporting: geo reports"
"Admin & Security","Admin: maps toggle"
"Dashboard","Dashboard: multi-tenant overview (if needed)"
"Customers & CRM","CRM: customer portal basic (download invoices)"
"Leads & Sales Pipeline","Pipeline: lead portal basic (submit lead)"
"Quotes","Quotes: customer can accept quote (link)"
"Sales Orders","Orders: customer can view order status (link)"
"Invoicing","Invoicing: customer can view invoices (link)"
"Payments","Payments: customer can upload payment proof"
"Products & Pricing","Products: public product catalog (optional)"
"Purchasing","Purchasing: internal requester portal"
"Suppliers","Suppliers: supplier can confirm PO (link)"
"Inventory","Inventory: stock visibility permissions"
"Warehousing","Warehousing: handheld-friendly pages"
"Manufacturing (BOM)","BOM: view-only access for shop floor"
"Work Orders","Work Orders: shop floor kiosk mode"
"Quality","Quality: shop floor inspection kiosk"
"Shipping & Delivery","Shipping: packing station kiosk"
"Returns & RMA","Returns: customer return portal (link)"
"Support Tickets","Tickets: customer ticket portal"
"Projects","Projects: client project portal"
"Time & Attendance","Time: employee self-service"
"HR","HR: employee self-service docs"
"Expenses","Expenses: employee expense portal"
"Assets & Maintenance","Assets: employee asset checkout portal"
"Reporting","Reporting: shared report links"
"Admin & Security","Admin: portal access controls"
"Dashboard","Dashboard: audit widgets (recent logins)"
"Customers & CRM","CRM: GDPR consent log"
"Leads & Sales Pipeline","Pipeline: audit stage changes"
"Quotes","Quotes: audit sent/accepted"
"Sales Orders","Orders: audit fulfill actions"
"Invoicing","Invoicing: audit posted invoices"
"Payments","Payments: audit payment edits"
"Products & Pricing","Products: audit price edits"
"Purchasing","Purchasing: audit approvals"
"Suppliers","Suppliers: audit supplier changes"
"Inventory","Inventory: audit stock changes"
"Warehousing","Warehousing: audit moves"
"Manufacturing (BOM)","BOM: audit revisions"
"Work Orders","Work Orders: audit completions"
"Quality","Quality: audit sign-offs"
"Shipping & Delivery","Shipping: audit shipments"
"Returns & RMA","Returns: audit refunds"
"Support Tickets","Tickets: audit resolution changes"
"Projects","Projects: audit status changes"
"Time & Attendance","Time: audit approvals"
"HR","HR: audit sensitive access"
"Expenses","Expenses: audit reimbursements"
"Assets & Maintenance","Assets: audit disposals"
"Reporting","Reporting: audit report access"
"Admin & Security","Admin: security audit export"
"Dashboard","Dashboard: onboarding tour (non-AI)"
"Customers & CRM","CRM: inline help tooltips"
"Leads & Sales Pipeline","Pipeline: stage definitions help"
"Quotes","Quotes: quote template help"
"Sales Orders","Orders: fulfillment checklist help"
"Invoicing","Invoicing: tax setup help"
"Payments","Payments: reconciliation help"
"Products & Pricing","Products: SKU rules help"
"Purchasing","Purchasing: approval rules help"
"Suppliers","Suppliers: onboarding guide"
"Inventory","Inventory: stock move guide"
"Warehousing","Warehousing: bin labeling guide"
"Manufacturing (BOM)","BOM: BOM creation guide"
"Work Orders","Work Orders: WO lifecycle help"
"Quality","Quality: NCR process guide"
"Shipping & Delivery","Shipping: packing process guide"
"Returns & RMA","Returns: return process guide"
"Support Tickets","Tickets: ticket triage guide"
"Projects","Projects: project template guide"
"Time & Attendance","Time: timesheet guide"
"HR","HR: policy acknowledgments"
"Expenses","Expenses: receipt rules help"
"Assets & Maintenance","Assets: maintenance guide"
"Reporting","Reporting: report builder help"
"Admin & Security","Admin: admin checklist"
"Dashboard","Dashboard: multi-tab saved views"
"Customers & CRM","CRM: customer list saved views"
"Leads & Sales Pipeline","Pipeline: pipeline saved views"
"Quotes","Quotes: quote list saved views"
"Sales Orders","Orders: order list saved views"
"Invoicing","Invoicing: invoice list saved views"
"Payments","Payments: payment list saved views"
"Products & Pricing","Products: product list saved views"
"Purchasing","Purchasing: PO list saved views"
"Suppliers","Suppliers: supplier list saved views"
"Inventory","Inventory: inventory list saved views"
"Warehousing","Warehousing: warehouse list saved views"
"Manufacturing (BOM)","BOM: BOM list saved views"
"Work Orders","Work Orders: WO list saved views"
"Quality","Quality: quality list saved views"
"Shipping & Delivery","Shipping: shipment list saved views"
"Returns & RMA","Returns: RMA list saved views"
"Support Tickets","Tickets: ticket list saved views"
"Projects","Projects: project list saved views"
"Time & Attendance","Time: time list saved views"
"HR","HR: employee list saved views"
"Expenses","Expenses: expense list saved views"
"Assets & Maintenance","Assets: asset list saved views"
"Reporting","Reporting: report list saved views"
"Admin & Security","Admin: saved views management"
"Dashboard","Dashboard: accessibility options"
"Customers & CRM","CRM: accessibility for forms"
"Leads & Sales Pipeline","Pipeline: keyboard navigation"
"Quotes","Quotes: printable high-contrast"
"Sales Orders","Orders: large-font packing view"
"Invoicing","Invoicing: accessible invoice PDF"
"Payments","Payments: accessible receipts"
"Products & Pricing","Products: alt text for images"
"Purchasing","Purchasing: accessible approval UI"
"Suppliers","Suppliers: accessible portal"
"Inventory","Inventory: color-blind safe status"
"Warehousing","Warehousing: large button UI"
"Manufacturing (BOM)","BOM: readable BOM tree"
"Work Orders","Work Orders: kiosk accessibility"
"Quality","Quality: accessible checklists"
"Shipping & Delivery","Shipping: accessible pick/pack"
"Returns & RMA","Returns: accessible return forms"
"Support Tickets","Tickets: accessible comments"
"Projects","Projects: accessible kanban"
"Time & Attendance","Time: accessible time entry"
"HR","HR: accessible employee portal"
"Expenses","Expenses: accessible receipt upload"
"Assets & Maintenance","Assets: accessible asset forms"
"Reporting","Reporting: accessible charts"
"Admin & Security","Admin: accessibility settings"
"Dashboard","Dashboard: performance metrics page"
"Customers & CRM","CRM: bulk email export list"
"Leads & Sales Pipeline","Pipeline: lead export list"
"Quotes","Quotes: quote export list"
"Sales Orders","Orders: order export list"
"Invoicing","Invoicing: invoice export list"
"Payments","Payments: payments export list"
"Products & Pricing","Products: product export list"
"Purchasing","Purchasing: PO export list"
"Suppliers","Suppliers: supplier export list"
"Inventory","Inventory: inventory export list"
"Warehousing","Warehousing: warehouse export list"
"Manufacturing (BOM)","BOM: BOM export list"
"Work Orders","Work Orders: WO export list"
"Quality","Quality: quality export list"
"Shipping & Delivery","Shipping: shipment export list"
"Returns & RMA","Returns: return export list"
"Support Tickets","Tickets: ticket export list"
"Projects","Projects: project export list"
"Time & Attendance","Time: timesheet export list"
"HR","HR: employee export list"
"Expenses","Expenses: expense export list"
"Assets & Maintenance","Assets: asset export list"
"Reporting","Reporting: report export list"
"Admin & Security","Admin: full database export"
"Dashboard","Dashboard: system messages feed"
"Customers & CRM","CRM: customer timeline view"
"Leads & Sales Pipeline","Pipeline: opportunity timeline view"
"Quotes","Quotes: quote timeline view"
"Sales Orders","Orders: order timeline view"
"Invoicing","Invoicing: invoice timeline view"
"Payments","Payments: payment timeline view"
"Products & Pricing","Products: product change timeline"
"Purchasing","Purchasing: PO timeline view"
"Suppliers","Suppliers: supplier timeline view"
"Inventory","Inventory: stock timeline view"
"Warehousing","Warehousing: move timeline view"
"Manufacturing (BOM)","BOM: BOM change timeline"
"Work Orders","Work Orders: WO timeline view"
"Quality","Quality: quality timeline view"
"Shipping & Delivery","Shipping: shipment timeline view"
"Returns & RMA","Returns: return timeline view"
"Support Tickets","Tickets: ticket timeline view"
"Projects","Projects: project timeline view"
"Time & Attendance","Time: time entry timeline"
"HR","HR: employee timeline"
"Expenses","Expenses: expense timeline"
"Assets & Maintenance","Assets: asset timeline"
"Reporting","Reporting: report run timeline"
"Admin & Security","Admin: admin actions timeline"
"Dashboard","Dashboard: basic search analytics (queries)"
"Customers & CRM","CRM: customer churn flag (rules)"
"Leads & Sales Pipeline","Pipeline: win/loss reasons"
"Quotes","Quotes: quote win rate stats"
"Sales Orders","Orders: order conversion stats"
"Invoicing","Invoicing: days sales outstanding (DSO)"
"Payments","Payments: payment delay stats"
"Products & Pricing","Products: top sellers stats"
"Purchasing","Purchasing: spend by supplier stats"
"Suppliers","Suppliers: on-time delivery stats"
"Inventory","Inventory: stockout frequency stats"
"Warehousing","Warehousing: pick time stats"
"Manufacturing (BOM)","BOM: component usage frequency"
"Work Orders","Work Orders: lead time stats"
"Quality","Quality: defect Pareto"
"Shipping & Delivery","Shipping: shipping cost stats"
"Returns & RMA","Returns: return reasons Pareto"
"Support Tickets","Tickets: ticket categories Pareto"
"Projects","Projects: project overrun stats"
"Time & Attendance","Time: absenteeism stats"
"HR","HR: turnover stats"
"Expenses","Expenses: average claim stats"
"Assets & Maintenance","Assets: downtime stats"
"Reporting","Reporting: KPI library"
"Admin & Security","Admin: telemetry opt-in/out"
"Dashboard","Dashboard: multi-user announcements"
"Customers & CRM","CRM: customer account hierarchy"
"Leads & Sales Pipeline","Pipeline: parent/child opportunities"
"Quotes","Quotes: quote bundles"
"Sales Orders","Orders: parent/child orders"
"Invoicing","Invoicing: consolidated invoicing"
"Payments","Payments: consolidated statements"
"Products & Pricing","Products: product families"
"Purchasing","Purchasing: grouped POs"
"Suppliers","Suppliers: parent/child suppliers"
"Inventory","Inventory: inventory by family"
"Warehousing","Warehousing: zone management"
"Manufacturing (BOM)","BOM: assembly families"
"Work Orders","Work Orders: parent/child WOs"
"Quality","Quality: linked NCRs"
"Shipping & Delivery","Shipping: consolidated shipments"
"Returns & RMA","Returns: consolidated returns"
"Support Tickets","Tickets: linked tickets"
"Projects","Projects: program management (parent projects)"
"Time & Attendance","Time: project timesheet grouping"
"HR","HR: manager/subordinate links"
"Expenses","Expenses: consolidated reimbursements"
"Assets & Maintenance","Assets: asset groups"
"Reporting","Reporting: consolidated dashboards"
"Admin & Security","Admin: org hierarchy config"
"Dashboard","Dashboard: print dashboard"
"Customers & CRM","CRM: print customer profile"
"Leads & Sales Pipeline","Pipeline: print opportunity summary"
"Quotes","Quotes: print quote"
"Sales Orders","Orders: print order"
"Invoicing","Invoicing: print invoice"
"Payments","Payments: print receipt"
"Products & Pricing","Products: print product sheet"
"Purchasing","Purchasing: print PO"
"Suppliers","Suppliers: print supplier sheet"
"Inventory","Inventory: print stock card"
"Warehousing","Warehousing: print bin labels"
"Manufacturing (BOM)","BOM: print BOM"
"Work Orders","Work Orders: print traveler"
"Quality","Quality: print inspection sheet"
"Shipping & Delivery","Shipping: print packing slip"
"Returns & RMA","Returns: print RMA"
"Support Tickets","Tickets: print ticket"
"Projects","Projects: print project summary"
"Time & Attendance","Time: print timesheet"
"HR","HR: print employee profile"
"Expenses","Expenses: print expense claim"
"Assets & Maintenance","Assets: print asset card"
"Reporting","Reporting: print report"
"Admin & Security","Admin: print settings"
"Dashboard","Dashboard: configurable date range"
"Customers & CRM","CRM: customer created date filters"
"Leads & Sales Pipeline","Pipeline: stage date filters"
"Quotes","Quotes: quote date filters"
"Sales Orders","Orders: order date filters"
"Invoicing","Invoicing: invoice date filters"
"Payments","Payments: payment date filters"
"Products & Pricing","Products: product created date filter"
"Purchasing","Purchasing: PO date filters"
"Suppliers","Suppliers: supplier created date filter"
"Inventory","Inventory: stock movement date filter"
"Warehousing","Warehousing: move date filters"
"Manufacturing (BOM)","BOM: revision date filters"
"Work Orders","Work Orders: WO date filters"
"Quality","Quality: inspection date filters"
"Shipping & Delivery","Shipping: shipment date filters"
"Returns & RMA","Returns: return date filters"
"Support Tickets","Tickets: ticket date filters"
"Projects","Projects: project date filters"
"Time & Attendance","Time: time entry date filters"
"HR","HR: hire date filters"
"Expenses","Expenses: expense date filters"
"Assets & Maintenance","Assets: asset purchase date filter"
"Reporting","Reporting: parameterized reports"
"Admin & Security","Admin: date/time settings"
"Dashboard","Dashboard: multi-currency display toggle"
"Customers & CRM","CRM: customer preferred currency"
"Leads & Sales Pipeline","Pipeline: opportunity currency"
"Quotes","Quotes: quote currency"
"Sales Orders","Orders: order currency"
"Invoicing","Invoicing: invoice currency"
"Payments","Payments: payment currency"
"Products & Pricing","Products: price list currency"
"Purchasing","Purchasing: PO currency"
"Suppliers","Suppliers: supplier currency"
"Inventory","Inventory: valuation currency"
"Warehousing","Warehousing: cost currency"
"Manufacturing (BOM)","BOM: cost currency"
"Work Orders","Work Orders: cost currency"
"Quality","Quality: cost currency"
"Shipping & Delivery","Shipping: cost currency"
"Returns & RMA","Returns: cost currency"
"Support Tickets","Tickets: cost impact currency"
"Projects","Projects: budget currency"
"Time & Attendance","Time: labor cost currency"
"HR","HR: salary currency"
"Expenses","Expenses: expense currency"
"Assets & Maintenance","Assets: asset value currency"
"Reporting","Reporting: multi-currency reports"
"Admin & Security","Admin: currency setup"
"Dashboard","Dashboard: compact mode"
"Customers & CRM","CRM: compact customer list"
"Leads & Sales Pipeline","Pipeline: compact pipeline view"
"Quotes","Quotes: compact quote list"
"Sales Orders","Orders: compact order list"
"Invoicing","Invoicing: compact invoice list"
"Payments","Payments: compact payment list"
"Products & Pricing","Products: compact product list"
"Purchasing","Purchasing: compact PO list"
"Suppliers","Suppliers: compact supplier list"
"Inventory","Inventory: compact inventory list"
"Warehousing","Warehousing: compact bin list"
"Manufacturing (BOM)","BOM: compact BOM list"
"Work Orders","Work Orders: compact WO list"
"Quality","Quality: compact NCR list"
"Shipping & Delivery","Shipping: compact shipment list"
"Returns & RMA","Returns: compact RMA list"
"Support Tickets","Tickets: compact ticket list"
"Projects","Projects: compact project list"
"Time & Attendance","Time: compact timesheet view"
"HR","HR: compact employee list"
"Expenses","Expenses: compact expense list"
"Assets & Maintenance","Assets: compact asset list"
"Reporting","Reporting: compact report list"
"Admin & Security","Admin: UI density setting"
"Dashboard","Dashboard: export config"
"Customers & CRM","CRM: export/import customers"
"Leads & Sales Pipeline","Pipeline: export/import leads"
"Quotes","Quotes: export/import quotes"
"Sales Orders","Orders: export/import orders"
"Invoicing","Invoicing: export/import invoices"
"Payments","Payments: export/import payments"
"Products & Pricing","Products: export/import products"
"Purchasing","Purchasing: export/import POs"
"Suppliers","Suppliers: export/import suppliers"
"Inventory","Inventory: export/import inventory"
"Warehousing","Warehousing: export/import locations"
"Manufacturing (BOM)","BOM: export/import BOMs"
"Work Orders","Work Orders: export/import WOs"
"Quality","Quality: export/import NCRs"
"Shipping & Delivery","Shipping: export/import shipments"
"Returns & RMA","Returns: export/import RMAs"
"Support Tickets","Tickets: export/import tickets"
"Projects","Projects: export/import projects"
"Time & Attendance","Time: export/import timesheets"
"HR","HR: export/import employees"
"Expenses","Expenses: export/import expenses"
"Assets & Maintenance","Assets: export/import assets"
"Reporting","Reporting: export/import reports"
"Admin & Security","Admin: import/export permissions"
"Dashboard","Dashboard: personal KPIs"
"Customers & CRM","CRM: customer custom dashboards"
"Leads & Sales Pipeline","Pipeline: salesperson dashboards"
"Quotes","Quotes: quote dashboards"
"Sales Orders","Orders: fulfillment dashboards"
"Invoicing","Invoicing: finance dashboards"
"Payments","Payments: collections dashboards"
"Products & Pricing","Products: product dashboards"
"Purchasing","Purchasing: procurement dashboards"
"Suppliers","Suppliers: supplier dashboards"
"Inventory","Inventory: inventory dashboards"
"Warehousing","Warehousing: warehouse dashboards"
"Manufacturing (BOM)","BOM: engineering dashboards"
"Work Orders","Work Orders: production dashboards"
"Quality","Quality: quality dashboards"
"Shipping & Delivery","Shipping: logistics dashboards"
"Returns & RMA","Returns: returns dashboards"
"Support Tickets","Tickets: support dashboards"
"Projects","Projects: PM dashboards"
"Time & Attendance","Time: attendance dashboards"
"HR","HR: HR dashboards"
"Expenses","Expenses: expense dashboards"
"Assets & Maintenance","Assets: maintenance dashboards"
"Reporting","Reporting: dashboard builder"
"Admin & Security","Admin: dashboard permissions"
"Dashboard","Dashboard: configurable shortcuts"
"Customers & CRM","CRM: configurable CRM fields"
"Leads & Sales Pipeline","Pipeline: configurable stages"
"Quotes","Quotes: configurable templates"
"Sales Orders","Orders: configurable statuses"
"Invoicing","Invoicing: configurable numbering"
"Payments","Payments: configurable methods"
"Products & Pricing","Products: configurable attributes"
"Purchasing","Purchasing: configurable approvals"
"Suppliers","Suppliers: configurable rating fields"
"Inventory","Inventory: configurable reasons"
"Warehousing","Warehousing: configurable bin formats"
"Manufacturing (BOM)","BOM: configurable revision rules"
"Work Orders","Work Orders: configurable operations"
"Quality","Quality: configurable defect codes"
"Shipping & Delivery","Shipping: configurable carriers"
"Returns & RMA","Returns: configurable dispositions"
"Support Tickets","Tickets: configurable categories"
"Projects","Projects: configurable workflows"
"Time & Attendance","Time: configurable policies"
"HR","HR: configurable org"
"Expenses","Expenses: configurable policies"
"Assets & Maintenance","Assets: configurable maintenance"
"Reporting","Reporting: configurable metrics"
"Admin & Security","Admin: configuration export"
"Dashboard","Dashboard: logout everywhere button"
"Customers & CRM","CRM: data delete customer (with safeguards)"
"Leads & Sales Pipeline","Pipeline: delete/archive leads"
"Quotes","Quotes: archive old quotes"
"Sales Orders","Orders: archive closed orders"
"Invoicing","Invoicing: archive paid invoices"
"Payments","Payments: archive payments"
"Products & Pricing","Products: archive discontinued products"
"Purchasing","Purchasing: archive closed POs"
"Suppliers","Suppliers: archive inactive suppliers"
"Inventory","Inventory: archive old movements"
"Warehousing","Warehousing: archive old tasks"
"Manufacturing (BOM)","BOM: archive obsolete BOMs"
"Work Orders","Work Orders: archive completed WOs"
"Quality","Quality: archive closed NCRs"
"Shipping & Delivery","Shipping: archive shipped records"
"Returns & RMA","Returns: archive closed RMAs"
"Support Tickets","Tickets: archive closed tickets"
"Projects","Projects: archive closed projects"
"Time & Attendance","Time: archive old timesheets"
"HR","HR: archive former employees"
"Expenses","Expenses: archive reimbursed claims"
"Assets & Maintenance","Assets: archive disposed assets"
"Reporting","Reporting: archive old reports"
"Admin & Security","Admin: soft-delete/restore system"
